commitID,Commit Subject,Issue ID,Issue Title,issue User,Semantic Confidence Level,Syntactic Confidence Level
576775d6d,FIX Correctly sets MDS pairwise attribute (#18278),18278,FIX Correctly sets MDS pairwise attribute,thomasjpfan,1,1
d1f0d1917,BUG Fixes stacker compatibility with estimators without n_features_in_ (#17357),17357,BUG Fixes stacker compatibility with estimators without n_features_in_,thomasjpfan,1,1
b0c03d128,BUG fix SparseCoder to follow scikit-learn API and allow cloning (#17679),17679,BUG fix SparseCoder to follow scikit-learn API and allow cloning,sdpython,1,1
b0c03d128,BUG fix SparseCoder to follow scikit-learn API and allow cloning (#17679),16346,BUG fix SparseCoder to follow scikit-learn API,glemaitre,1,1
43c0efa1b,BUG Fixes cython code for ppc arch (#17201),17201,BUG Fixes cython code for ppc arch,thomasjpfan,1,1
946fddec7,BUG Fix instability issue of ARDRegression (with speedup) (#16849),16849,BUG Fix instability issue of ARDRegression (with speedup),NicolasHug,1,1
b9692a6be,"BUG Fixes kernel PCA raising ""invalid value encountered in mul… (#16718)",16718,"BUG Fixes kernel PCA raising ""invalid value encountered in mul…",gui-miotto,1,1
45bc7d98b,BUG fix the math issue in latex compilation (#16673),16673,BUG fix the math issue in latex compilation,glemaitre,1,1
4c29be44f,"FIX Predicted standard deviation values of Gaussian Processes are only within [0, 1] (#15782)",15612,"Predicted standard deviation values of Gaussian Processes are only within [0, 1]",Amir-Arsalan,1,2
7366a5a4c,BUG fix behaviour in confusion_matrix with with empty array-like as input (#16442),16442,BUG fix behaviour in confusion_matrix with with empty array-like as input,parsons-kyle-89,2,1
ae0dcddce,BUG Fixes benchmark script for early stopping (#16476),16476,BUG Fixes benchmark script for early stopping,thomasjpfan,1,1
cc2fbeddf,BUG max_depth=1 should be decision stump in HistGradientBoosti… (#16182),16182,BUG max_depth=1 should be decision stump in HistGradientBoosti…,SanthoshBala18,2,0
a5542e949,BUG fix pip3 ubuntu update by suffixing file (#15928),15928,BUG fix pip3 ubuntu update by suffixing file,glemaitre,1,1
a83b8e0d4,DOC Fix yticklabels order in permutation importances example (#15799),15799,Fix yticklabels order in permutation importances example,ogrisel,1,1
e81884f91,TST Fix leak in tmp folders in LFW test when pillow is missing (#15676),15676,TST Fix leak in tmp folders in LFW test when pillow is missing,ogrisel,1,1
ac7081c51,FIX plot_roc_curve/plot_precision_recall_curve now work with pipeline (#15606),15606,FIX plot_roc_curve/plot_precision_recall_curve now work with pipeline,qinhanmin2014,1,1
c997e9b3e,BUG: Fix literal comparison (#15260),15260,BUG: Fix literal comparison,larsoner,1,1
c52b6e128,Amg arpack workaround fix (#14647),14647,Amg arpack workaround fix,amueller,1,1
b580ad5df,BUG Fix zero division error in GBDTs (#14024),14024,BUG Fix zero division error in GBDTs,NicolasHug,1,1
e35f04020,[MRG] Fixes get_feature_names results when using drop functionality (#13894),13894,[MRG] Fixes get_feature_names results when using drop functionality,jamesmyatt,1,1
c7ce6757d,Fix for AttributeError thrown when calling metrics.pairwise_distances with binary metrics and Y is None (#13864),13853,AttributeError thrown when calling metrics.pairwise_distances with binary metrics and Y is None,jlmelville,1,1
eb1f5f29d,FIX broken sdist (#13862),13862,FIX broken sdist,ogrisel,1,1
1fe00b589,[MRG + 1] Fix pprint ellipsis (#13436),13436,[MRG + 1] Fix pprint ellipsis,NicolasHug,1,2
19c8af6d6,ENH/FIX Replace jaccard_similarity_score by sane jaccard_score (#13151),13151,ENH/FIX Replace jaccard_similarity_score by sane jaccard_score,jnothman,1,1
414065770,[MRG+2] Fix LDA predict_proba()  (#11796),11796,[MRG+2] Fix LDA predict_proba() ,agamemnonc,1,1
42073c2cc,[MRG] Fixed NMF IndexError (#11667),11667,[MRG] Fixed NMF IndexError,zjpoh,1,1
4f5dd77d1,BUG: fix check_array on pandas Series with custom dtype (eg categorical) (#12706),12706,BUG: fix check_array on pandas Series with custom dtype (eg categorical),jorisvandenbossche,1,1
1414efb78,DOC: start section for the 0.20.2 bugfix notes (#12664),8203,Bugfix,BasilBeirouti,1,2
