id,Title,Body,User,Label,Created At,Updated At
12641,"bugfix: hardcoded User, fails with custom User model","In django/contrib/auth/forms.py:
I think hardcoded 'User' should not be used to avoid failure with custom User model: ""Manager isn't available; User has been swapped for ..""
Instead get_user_model() is correct.
This function is in the top part of a forms.py assigned as 
UserModel = get_user_model()
.... so I have changed:
User -> UserModel

Best regards,
Mirek",zvolsky,None,2020-03-29T14:41:52Z,2020-03-30T05:36:52Z
10517,Fixed #29138 -- Add ModelAdmin.autocomplete_fields support for ForeignKeys that use to_field,"Bug fix for [29138](https://code.djangoproject.com/ticket/29138); creating [PR as requested](https://code.djangoproject.com/ticket/29138#comment:10).

NOTE: one of the unit tests doesn't pass due to a DisallowedModelAdminToField error being raised; I'm not sure how to resolve this issue as I'm not familiar with `to_field_allowed`

For reference, I originally submitted this fix based on `stable/2.1.x` (see [10494](https://github.com/django/django/pull/10494)); changing the base to `master` caused too many conflicts so I'm resubmitting a new one.",ConstantinoSchillebeeckx,None,2018-10-16T18:50:36Z,2018-10-16T20:20:31Z
10494,Fixed #29138 -- Added ModelAdmin.autocomplete_fields support for ForeignKeys that use to_field.,"Bug fix for [29138](https://code.djangoproject.com/ticket/29138); creating [PR as requested](https://code.djangoproject.com/ticket/29138#comment:10).

> **Note** I've been able to update all unit tests and create some new ones, however I haven't been able to leverage `to_field_allowed` to prevent data leaks. I've tried to implement it (see ​here), however I can't get it to play nicely with the unit tests. When uncommented, the `id_field` isn't properly being considered as to_field_allowed. I'm not familiar with this function, so could use some help troubleshooting.",ConstantinoSchillebeeckx,None,2018-10-08T18:41:52Z,2019-10-30T10:58:47Z
10371,Bugfix: Support Python 3.7 for 1.11,"I know that 1.11 should only get security bugfixes and does not officially support python 3.7, but please consider including this two character fix into the next patch release, it would make the work of many people easier.

Bug ticket: https://code.djangoproject.com/ticket/28814

Fix for:

```
  File "".../site-packages/django/contrib/admin/widgets.py"", line 152
    '%s=%s' % (k, v) for k, v in params.items(),
    ^
SyntaxError: Generator expression must be parenthesized
```

And yes it's really only two square brackets missing!",dunkelstern,None,2018-09-06T11:02:14Z,2018-09-12T15:36:05Z
9125,bug#28198. Fixed attributes which are duplicated in parent and child classes ,bug#28198. Fixed attributes. Now all attributes which are in parent and child classes will be removed from first one during child initialization,denys-tarykin,None,2017-09-22T08:55:08Z,2017-09-22T08:56:50Z
9123,bug#28198. Fixed attributes.,bug#28198. Fixed attributes. Now all attributes which are in parent and child classes will be removed from first one during child initialization,denys-tarykin,None,2017-09-21T12:06:06Z,2017-09-21T12:26:24Z
9118,bug#28198. Fixed attributes. Now all attributes which are in parent a…,bug#28198. Fixed attributes. Now all attributes which are in parent and child classes will be removed from first one during child initialization,denys-tarykin,None,2017-09-20T14:09:50Z,2017-11-16T09:39:51Z
9104,bug#28198. Fixed logic that set default value for deferred fields,"All deferred fields were skipped during model initialization process, even they have default value ",denys-tarykin,None,2017-09-18T11:10:42Z,2017-09-21T12:03:01Z
7720,BugFix: --database option not works,"Because of system checks before loading the module
So, we need to disable system checks as I committed.",salehi,None,2016-12-20T02:38:55Z,2016-12-21T22:25:16Z
7719,BugFix: --database not working due to systemchecks,#NAME?,salehi,None,2016-12-20T02:29:56Z,2016-12-20T02:40:43Z
