Issue ID,Issue Body,issue of User,commitID,Commit Subject,Semantic Confidence Level,Syntactic Confidence Level
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),3,0
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),2,1
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),3,0
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),2,1
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9222,replace tf.compat.v1.logging with absl.logging for deep_speech,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9184,fix broken url for attention_ocr README.md,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9184,fix broken url for attention_ocr README.md,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),2,1
9184,fix broken url for attention_ocr README.md,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9184,fix broken url for attention_ocr README.md,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9184,fix broken url for attention_ocr README.md,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9184,fix broken url for attention_ocr README.md,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9184,fix broken url for attention_ocr README.md,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
