id,Title,Body,User,Label,Created At,Updated At
13308,Fixed #31897 -- Tweaked Settings docs to better explain settings.DEBUG example,"Tweaked Settings docs to better explain settings.DEBUG example

The current example for how to use `from django.conf import settings` includes the example of using `settings.DEBUG`.

The example is fine, but if a user tries to replicate this in their test scripts `settings.DEBUG` will always return `False` [as intended](https://docs.djangoproject.com/en/3.1/topics/testing/overview/#other-test-conditions). This PR simply adds an `admonition` in the docs to warn users about this and offer an alternative with `override_settings()`.",edelgm6,None,2020-08-14T19:05:56Z,2020-08-18T05:41:32Z
13292,Fixed #31865 -- Adjusted admin sidebar template to reduce debug logging.,,carltongibson,None,2020-08-11T08:14:13Z,2020-08-11T09:42:20Z
13189,Fixed #31791 -- Made technical 404 debug page display the tried URL patterns for Http404.,https://code.djangoproject.com/ticket/31791,jdufresne,None,2020-07-14T19:08:07Z,2020-09-07T05:42:58Z
13176,Fixed #31674 -- Made technical 500 debug page respect __suppress_context__.,Ticket https://code.djangoproject.com/ticket/31674,orf,None,2020-07-11T22:25:50Z,2020-07-13T08:33:49Z
13163,Refs #30400 -- Improved typography in debug and csrf templates.,https://code.djangoproject.com/ticket/30400,jdufresne,None,2020-07-07T23:37:07Z,2020-07-08T20:33:10Z
13080,[BUG] Stable/3.0.x bug in queryset of django's filter,"there is something wrong with ""exact"" filter:

product = Product.objects.filter(product_id__exact=str(product_id))[:1]

this code genereate the following sql query:

SELECT `main_product`.`id`, `main_product`.`name`, `main_product`.`product_id`, `main_product`.`supplier_id`, `main_product`.`description`, `main_product`.`price`, `main_product`.`type_id` FROM `main_product` WHERE `main_product`.`product_id` = dvxdioxfglixezqb LIMIT 1


as you can notice **dvxdioxfglixezqb** don't have quotes


<img width=""1334"" alt=""Screen Shot 2020-06-17 at 21 56 40"" src=""https://user-images.githubusercontent.com/26381154/84949652-7713b100-b0e5-11ea-9f01-1e7932dc4a1a.png"">
",youssef02,None,2020-06-17T20:57:50Z,2020-06-18T06:00:55Z
12678,Fixed #30779 -- Improved selection of filenames in technical 500 debug page.,"[Ticket 30779](https://code.djangoproject.com/ticket/30779)
Continue [original PR](https://github.com/django/django/pull/11789)
I rebased the patch and adjusted the tests.",hramezani,None,2020-04-06T22:02:20Z,2020-04-09T09:54:44Z
12641,"bugfix: hardcoded User, fails with custom User model","In django/contrib/auth/forms.py:
I think hardcoded 'User' should not be used to avoid failure with custom User model: ""Manager isn't available; User has been swapped for ..""
Instead get_user_model() is correct.
This function is in the top part of a forms.py assigned as 
UserModel = get_user_model()
.... so I have changed:
User -> UserModel

Best regards,
Mirek",zvolsky,None,2020-03-29T14:41:52Z,2020-03-30T05:36:52Z
12478,Captured logging in DebugViewTests with assertLogs().,,jdufresne,None,2020-02-20T04:33:29Z,2020-03-21T14:07:49Z
12403,Fixed #31222 -- Fixed typo in docs/internals/contributing/bugs-and-features.txt.,"[Ticket #31222](https://code.djangoproject.com/ticket/31222)

Removed **to** from:
 _If your idea can be developed as an independent application or module — for instance, you want to support another database engine — we’ll probably suggest **that you to** develop it independently._",Vibhu-Agarwal,None,2020-02-01T17:00:45Z,2020-02-03T18:28:02Z
12265,Fixed #30934: Include database alias in `django.db.backends` debug output ,"Original PR: #11994 

Went through the patch checklist and changed patch notes and added version added admonition to documentation.

Thanks to @codeinthehole for the ticket and patch. I simply added the documentation. ",abhijeetviswa,None,2019-12-31T18:51:53Z,2020-01-01T07:32:59Z
12248,"Dummy PR to debug #31117, please ignore.","This is a dummy PR, not intended to be merged. It contains some extra debug printing, to be executed by the Jenkins builds, intended to discover why the bug described at https://code.djangoproject.com/ticket/31117 does not occur inside Jenkins.",matthijskooijman,None,2019-12-24T12:45:11Z,2019-12-24T21:04:15Z
12196,Fixed #31077 -- Made debug decorators raise TypeError if they're not called.,"… decorators.

Django will now raise an error if you forget to
call the decorator:

    @sensitive_variables
    def my_function(*args):
        ...

ticket-31077",bmispelon,None,2019-12-09T11:37:40Z,2019-12-10T13:49:22Z
12132,Fixed #31010 -- Allowed subdomains of localhost in the Host header by default when DEBUG=True.,https://code.djangoproject.com/ticket/31010,thenewguy,None,2019-11-24T02:18:03Z,2019-12-05T09:05:14Z
11879,Fix bug with Apache x-sendfile header.,,Dart-net,None,2019-10-07T18:28:35Z,2019-10-08T06:19:58Z
11801,Ref #30790 -- fixes a bug with `autocomplete_fields`,"When `search_fields` is not defined but `get_search_fields` is the `autocomplete_fields` feature fails this check. This commit should fix that.

https://code.djangoproject.com/ticket/30790#ticket",chadgh,None,2019-09-20T21:23:28Z,2019-09-20T22:57:02Z
11620,Fixed #29008 -- Fixed crash of 404 debug page when URL path converter raises Http404.,"Not sure while writing test for this, since `Resolver404` is instance of `Http404` and while raised it only pass.",nsiregar,None,2019-08-02T13:56:08Z,2019-08-09T21:22:56Z
11320,Removed unnecessary line in DebugLexer.tokenize().,Removed unnecessary code/variable which is not in use.  Ref  https://lgtm.com/projects/g/django/django,sanchjat,None,2019-05-04T17:26:36Z,2019-05-07T11:34:06Z
11286,Added tests for queries log in CursorDebugWrapper.executemany().,Related with #10920.,felixxm,None,2019-04-26T15:45:22Z,2019-04-29T08:38:21Z
11224,Fixed #23004 -- Hid sensitive environment parameters in debug view,,MarkusH,None,2019-04-13T17:47:20Z,2019-07-11T11:04:33Z
11170,Fixed #30324 -- Forced utf-8 encoding when loading debug templates.,"Refs #28007 and #29654.

Regression in ea542a9c7239b5b665797b7c809f1aceb0b412cf and 50b8493581fea3d7137dd8db33bac7008868d23a.",pope1ni,None,2019-04-03T23:46:10Z,2019-04-05T14:45:40Z
11062,Subquery resolving refactor and bug fixing.,"This allows the removal of a few hacks and address two tickets

- [#21703](https://code.djangoproject.com/ticket/21703) now that `OuterRef` resolution is moved to `Query` it allows it to use this construct internally when performing a `split_exclude`.
- [#30188](https://code.djangoproject.com/ticket/30188) the resolving logic push downs addresses the `AssertionError` on `set_source_expressions` but another commit was needed to address a broken reference caused by `rewrite_cols`. This method really needs to be refactored to either clear the existing inner queries annotations before performing the rewrite or reused the existing refs to prevent double work. I think this should be handled in a separate PR/ticket though.",charettes,None,2019-03-08T16:34:17Z,2019-04-05T14:06:49Z
10870,Fixed #25791 -- Made cached template loader do nothing when DEBUG is on.,"Ticket: https://code.djangoproject.com/ticket/25791

I originally implemented an autoreloader hook that attempted to clear the template cache, and while this is possible to do I feel it might be missing the point: Templates are cached in development. We can get around this by simply not caching them when `DEBUG` is `True`, which I feel is a lot cleaner and a lot simpler to implement.

~~I need to add tests, and I'm not happy with the way the autoreloader is set up. It's actually a case I did not consider when designing it: the `django.template.loaders.*` are lazy-loaded and so are not imported until a template is rendered. Which is tricky for us as we need to register a signal at *import time*, before the auto-reloader is started.~~

~~So I've put the auto-reload code inside `django.template.autoreload` even though I really feel it should belong inside `django.template.loaders.cached`, and I've triggered an import of this module from `django.template`. Which is also not nice, as this module is a kind of public API and I don't want to pollute it with `autoreload` stuff (or signal handing, if we where to use `.connect()` instead of `receiver()`).~~",orf,None,2019-01-18T23:28:39Z,2020-05-17T10:54:37Z
10748,Fixed #23004 -- Cleanse sensitive request.META keys from DEBUG Views,"- Fixed ticket [#23004](https://code.djangoproject.com/ticket/23004)
- Signed and sent CLA agreement
- Includes tests and documentation

This is based almost entirely on [PR 7996](https://github.com/django/django/pull/7996). There should be two differences: 
- It works with the latest version of the master branch
- It includes the test for ExceptionReporterFilter.get_safe_request_meta that was requested at the end of that PR",maxsond,None,2018-12-12T19:28:29Z,2020-01-09T10:43:08Z
10712,Fixed #29995 -- Used higher contrast colors on debug page.,"In our technical error page in debug mode, some of the text/background
colors were not high contrast enough to meet the WCAG standards for
accessiblity (https://www.w3.org/TR/UNDERSTANDING-WCAG20/Overview.html).
This change addresses those low contrast color combinations.",zachgarwood,None,2018-11-30T19:06:15Z,2018-12-21T23:19:35Z
10371,Bugfix: Support Python 3.7 for 1.11,"I know that 1.11 should only get security bugfixes and does not officially support python 3.7, but please consider including this two character fix into the next patch release, it would make the work of many people easier.

Bug ticket: https://code.djangoproject.com/ticket/28814

Fix for:

```
  File "".../site-packages/django/contrib/admin/widgets.py"", line 152
    '%s=%s' % (k, v) for k, v in params.items(),
    ^
SyntaxError: Generator expression must be parenthesized
```

And yes it's really only two square brackets missing!",dunkelstern,None,2018-09-06T11:02:14Z,2018-09-12T15:36:05Z
9901,Fixed #29353 -- Made StaticFilesHandler return a 404 response when settings.DEBUG is False,,claudep,None,2018-04-25T08:39:41Z,2018-04-27T07:26:34Z
9840,Fix a bug: template-variable-lookup call a callable object before evaluating all the variable.,"Fix a bug: template-variable-lookup call a callable object before evaluating all the variable.

for example:
```
    def a():  return ""Hi""
    a.b = ""Far""

    from django.template import Template, Context
    t = Template(""{{ a.b }}"")
    t.render(Context({""a"": a}))
```
It will print string_if_invalid, i.e., empty string .

After correct, it can print the right value ""Far""",luoxzhg,None,2018-03-31T04:21:12Z,2018-04-09T14:55:41Z
9733,Fixed buggy regex in URL dispatcher docs,"I think we need to escape `-` in `[\w-_]`, otherwise it is interpreted as a range:

```
django.core.exceptions.ImproperlyConfigured: ""^articles/(?P<year>[0-9]{4})/(?P<month>[0-9]{2})/(?P<slug>[\w-_]+)/$"" is not a valid regular expression: bad character range \w-_ at position 59
```

Furthermore, `\w` already matches `_`, so we can just remove that.",rfleschenberg,None,2018-02-26T14:45:46Z,2018-02-27T01:00:15Z
9507,fix 'NoneType' object has no attribute 'is_relation' bug,fix 'NoneType' object has no attribute 'is_relation' bug,HeatonHuang,None,2017-12-29T03:50:09Z,2017-12-29T09:33:53Z
9442,Fixed leaky logger in NonDjangoTemplatesDebugViewTests.,"```
...................................................................................Forbidden (Permission denied): /raises403/
Not Found: /raises404/
................ss.................................................................................................................
```",pope1ni,None,2017-12-07T12:21:49Z,2017-12-11T14:41:49Z
9415,Fixed #28882 -- Fixed bug with saving disabled MultiValueField,"https://code.djangoproject.com/ticket/28882

The initial value for **disabled** MultiValueField is compressed, which means it's not iterable. On the other side is the MultiValueField validator which expects the value to be list/tuple. Providing decompressed initial value for multi-value fields satisfies the validator.

I am still not convinced whether silencing AttributeError is a good decision, but I am checking whether the widget has `decompress` method because of two reasons:
- Default widget for MultiValueField is TextInput, which does not have this method.
- MultiWidget enforces any children classes to have `decompress` method, but docstring of MultiValueField only suggests to use that widget.
",avalanchy,None,2017-12-04T08:35:06Z,2018-01-07T16:53:28Z
9360,Fixed #27629 -- Fixed bug where allow_relation() is never called,"Modified the behavior surrounding router.allow_relation checks within
the related_descriptors module. It will now always resolve the
instance and value database if needed and then always call the
relation check.

https://code.djangoproject.com/ticket/27629",srfilipek,None,2017-11-17T14:26:29Z,2018-05-11T00:42:45Z
9125,bug#28198. Fixed attributes which are duplicated in parent and child classes ,bug#28198. Fixed attributes. Now all attributes which are in parent and child classes will be removed from first one during child initialization,denys-tarykin,None,2017-09-22T08:55:08Z,2017-09-22T08:56:50Z
9123,bug#28198. Fixed attributes.,bug#28198. Fixed attributes. Now all attributes which are in parent and child classes will be removed from first one during child initialization,denys-tarykin,None,2017-09-21T12:06:06Z,2017-09-21T12:26:24Z
9118,bug#28198. Fixed attributes. Now all attributes which are in parent a…,bug#28198. Fixed attributes. Now all attributes which are in parent and child classes will be removed from first one during child initialization,denys-tarykin,None,2017-09-20T14:09:50Z,2017-11-16T09:39:51Z
9104,bug#28198. Fixed logic that set default value for deferred fields,"All deferred fields were skipped during model initialization process, even they have default value ",denys-tarykin,None,2017-09-18T11:10:42Z,2017-09-21T12:03:01Z
8839,Refs #7697 -- Tested escaping of safe strings in the technical 500 debug view.,"Tests were omitted in the original commit: a56a226241f5808b2eaf1e4b5a155d35047b8a06
https://code.djangoproject.com/ticket/7697",timgraham,None,2017-08-01T14:30:19Z,2017-08-02T19:57:01Z
8834,Refs #5046 -- Tested the 'unicode hint' in the technical 500 debug view.,https://code.djangoproject.com/ticket/5046#comment:8,timgraham,None,2017-07-31T22:33:57Z,2017-08-02T19:33:45Z
8703,Fixed #28360 -- Fixed crash of test runner with --debug-sql on fail/error in subTest.,https://code.djangoproject.com/ticket/28360,sir-sigurd,None,2017-07-05T09:03:57Z,2017-07-07T07:31:58Z
8509,Fixed #28209 Fixed year out of range bug in generic date view mixins.,"Added exception handling to YearMixin and MonthMixin in generic.dates
to return 404 when trying to browse years greater than 5 digits since
datetime module will throw an year out of range ValueError.",aditbiswas1,None,2017-05-15T19:49:25Z,2017-05-30T17:32:49Z
8508,Fixed #28209 Fixed year out of range bug in generic date view mixins.,"Added exception handling to YearMixin and MonthMixin in generic.dates
to return 404 when trying to browse years greater than 5 digits since
datetime module will throw an year out of range ValueError.",aditbiswas1,None,2017-05-15T19:02:42Z,2017-05-15T19:47:40Z
8446,Fixes bug causing 404 response due to Greek translation error,"The **Greek** translation of the *help_text* in *password* field of **UserChangeForm** class (file: contrib/auth/forms.py), causes a 404 error when trying to change the password of a user, when following the available link.
By the way, I fixed a small typo, also!",ioagel,None,2017-05-01T17:39:40Z,2017-05-02T06:00:31Z
8356,"Fixed #28079 -- Restored ""No POST data"" (rather than an empty table) in HTML debug page.",https://code.djangoproject.com/ticket/28079,timgraham,None,2017-04-14T12:52:38Z,2017-04-15T13:22:00Z
8338,Fixed #28008 -- Removed getElementsByClassName() in debug view template.,"I have used querySelectorAll to replace getElementsByClassName().
https://code.djangoproject.com/ticket/28008",gautamabhishek46,None,2017-04-08T20:39:13Z,2017-04-14T12:12:15Z
8282,Fixed #28007 -- Moved debug templates on the filesystem,https://code.djangoproject.com/ticket/28007,claudep,None,2017-04-01T15:34:58Z,2017-04-12T16:07:02Z
8259,Fixed #27987 -- Added default colors in debug view stylesheet,,xlotlu,None,2017-03-28T11:54:41Z,2017-03-28T12:55:17Z
8162,Described DEBUG_PROPAGATE_EXCEPTIONS behavior in more detail.,,timgraham,None,2017-03-09T16:57:07Z,2017-03-09T19:05:01Z
8152,Fixed #9363 -- Added callstack capture to CursorDebugWrapper,"continued from https://github.com/django/django/pull/7339

@felixxm would you mind guiding the proper direction?",auvipy,None,2017-03-07T13:48:57Z,2017-03-24T00:09:30Z
8013,Fixed #27539 -- assertNumQueries fails if debug cursor wrapper fills,Some doubts I have regarding the PR asked on the [Ticket](https://code.djangoproject.com/ticket/27539),reficul31,None,2017-02-02T13:06:05Z,2017-02-16T17:02:08Z
7996,Fixed #23004 -- Cleanse sensitive request.META keys from DEBUG Views,"- Fixed ticket [#23004](https://code.djangoproject.com/ticket/23004)
- Signed and sent CLA agreement
- Added tests and documentation",audiolion,None,2017-01-30T19:51:09Z,2018-12-21T13:51:55Z
7788,Refs #15035 -- Corrected a bug and improved comments for a staticfiles test.,,timgraham,None,2017-01-04T00:26:31Z,2017-01-04T13:06:56Z
7720,BugFix: --database option not works,"Because of system checks before loading the module
So, we need to disable system checks as I committed.",salehi,None,2016-12-20T02:38:55Z,2016-12-21T22:25:16Z
7719,BugFix: --database not working due to systemchecks,#NAME?,salehi,None,2016-12-20T02:29:56Z,2016-12-20T02:40:43Z
7445,Captured logging output from NonDjangoTemplatesDebugViewTests in view_tests.,"Before the fix the output would appear as:

```
test_400 (view_tests.tests.test_debug.NonDjangoTemplatesDebugViewTests) ... 
ok
```

now:

```
test_400 (view_tests.tests.test_debug.NonDjangoTemplatesDebugViewTests) ... ok
```
",jdufresne,None,2016-10-28T03:57:44Z,2016-10-29T22:39:24Z
7436,Fixed #27391 -- Implemented SimpleTestCase.debug().,"https://code.djangoproject.com/ticket/27391

Users calling debug() expect it to bubble up an exception if occurring in test, but behave the
same as run() when no exception occurred.
",asfaltboy,None,2016-10-26T21:20:15Z,2019-10-18T13:31:27Z
7420,Fixed #27373 -- Corrected message on 404 debug page for an empty request path.,"https://code.djangoproject.com/ticket/27373
",felixxm,None,2016-10-22T20:26:51Z,2016-10-27T20:58:42Z
7412,Fix KeyError bug when 'no_color' is not specified (#27366),"Associated ticket: https://code.djangoproject.com/ticket/27366#ticket

Works fine now.
",Ge0,None,2016-10-19T17:21:28Z,2016-10-19T17:24:55Z
7339,Fixed #9363 -- Added callstack capture to CursorDebugWrapper,"Keeps a track of the callstack for each query executed to aid
debugging of assertNumQueries failures.

https://code.djangoproject.com/ticket/9363
",timgraham,None,2016-10-04T12:05:05Z,2016-11-14T17:08:13Z
7204,Fixed #25788 -- Enabled the cached template loader if debug is False.,"https://code.djangoproject.com/ticket/25788

Updated from https://github.com/django/django/pull/6954 to fix tests. A few tests relied on the default loaders and needed to have them specified so the cached loader isn't used instead.
",timgraham,None,2016-09-02T21:53:46Z,2016-09-03T19:51:18Z
7060,Fixed #27008 -- Added --debug-mode option to DiscoverRunner.,,cjerdonek,None,2016-08-10T17:48:03Z,2016-08-13T00:45:54Z
7052,Fixed #27035 -- Made it easier to change settings.DEBUG for test runs.,,cjerdonek,None,2016-08-09T08:42:14Z,2016-08-09T17:41:04Z
7025,Fixed #27019 -- Made teardown_test_environment() restore the original value of DEBUG.,"https://code.djangoproject.com/ticket/27019
",cjerdonek,None,2016-08-05T01:44:54Z,2016-08-10T20:27:20Z
6980,Fixed #26961 -- Made Admin checks run when DEBUG = False,"[Ticket 26961](https://code.djangoproject.com/ticket/26961)
",adamchainz,None,2016-07-27T10:11:37Z,2017-01-09T23:50:13Z
6966,Fixed #26938 -- Fixed invalid HTML in template postmortem on the debug page.,"https://code.djangoproject.com/ticket/26938
",jdufresne,None,2016-07-23T00:40:20Z,2016-07-24T16:22:51Z
